<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20200320,000000,60.9900000,65.5000000,56.6000000,57.3000000,49795480
20200323,000000,55.6300000,59.6300000,54.0100000,57.5600000,28428880
20200324,000000,60.4200000,62.0000000,58.0600000,58.3700000,41786700
20200325,000000,60.0100000,63.9200000,60.0100000,61.6100000,43963740
20200326,000000,61.6300000,62.0700000,58.8100000,60.4600000,28752030
20200327,000000,61.0100000,61.4400000,56.0400000,56.9000000,25124880
20200330,000000,55.7700000,58.9500000,54.4700000,58.7200000,23434040
20200331,000000,59.0300000,64.5900000,59.0300000,64.5900000,42404670
20200401,000000,62.9000000,64.7000000,61.7600000,63.4300000,31308200
20200402,000000,65.0000000,65.4000000,60.0000000,61.8000000,43512700
20200403,000000,61.8500000,63.3000000,61.1100000,61.5900000,27978290
20200406,000000,62.5000000,64.0000000,61.6400000,63.5000000,21369850
20200407,000000,64.7700000,66.5000000,63.9900000,65.8000000,34361360
20200408,000000,65.3000000,65.5800000,64.5800000,65.5800000,18359490
20200409,000000,65.8200000,67.4000000,65.6100000,67.3300000,27202610
20200410,000000,66.8200000,66.8900000,65.5600000,66.3500000,15974080
20200413,000000,66.1900000,66.3500000,63.3700000,64.7500000,15094550
20200414,000000,64.9700000,65.9200000,63.5000000,63.5000000,26280970
20200415,000000,63.5000000,63.6500000,59.8000000,59.9000000,31371790
20200416,000000,60.2800000,60.7400000,58.5000000,59.2400000,34288250
20200417,000000,60.0500000,61.1000000,59.0200000,60.7800000,26710340
20200420,000000,60.7900000,61.8800000,59.7100000,60.0200000,23756610
20200421,000000,59.3100000,60.8400000,59.0400000,60.2800000,24120120
20200422,000000,59.7900000,62.5000000,59.7600000,61.7100000,22174670
20200423,000000,62.1100000,63.6800000,61.6500000,62.8700000,24824480
20200424,000000,62.9500000,62.9500000,60.8200000,61.1100000,22817350
20200427,000000,61.4000000,62.4600000,61.3200000,61.7600000,13011120
20200428,000000,61.8900000,65.3300000,61.8100000,63.7700000,31653620
20200429,000000,64.6000000,65.0900000,63.6100000,63.9000000,18844660
20200430,000000,64.3200000,64.6200000,61.2500000,62.2000000,34621490
20200504,000000,61.6600000,62.8000000,60.8100000,62.5000000,13358690
20200505,000000,63.1500000,63.3400000,62.2100000,62.7900000,14632110
20200506,000000,62.8900000,63.3000000,61.3600000,61.7300000,18893820
20200507,000000,61.7700000,62.9900000,61.4000000,62.5100000,13684460
20200508,000000,62.7000000,62.8300000,61.6300000,62.4000000,9591290
20200512,000000,62.5400000,63.7300000,61.8200000,62.8600000,24221080
20200513,000000,62.8000000,62.8000000,61.1800000,61.1800000,15889670
20200514,000000,60.9900000,61.9900000,60.7100000,61.0900000,14990850
20200515,000000,61.5500000,62.0000000,59.8200000,59.8200000,14265210
20200518,000000,60.4900000,61.7700000,60.3800000,61.3300000,17003950
20200519,000000,61.3100000,62.2000000,61.1700000,61.5000000,13105010
20200520,000000,61.4400000,64.2500000,61.0500000,63.9700000,33587850
20200521,000000,63.8500000,65.0000000,62.8300000,63.6000000,24006990
20200522,000000,63.0900000,64.5500000,63.0900000,63.8100000,19542710
20200525,000000,64.0000000,64.7000000,63.7500000,63.9000000,12692520
20200526,000000,64.4000000,65.6300000,64.2600000,64.7000000,18923980
20200527,000000,64.9100000,67.2100000,64.7100000,65.8400000,26866290
20200528,000000,66.1700000,67.9500000,65.9000000,67.9500000,20004220
20200529,000000,67.6400000,67.7900000,65.6300000,66.0000000,35894720
20200601,000000,66.3200000,69.4400000,66.3100000,69.0200000,33333900
20200602,000000,69.4400000,70.3400000,67.5300000,68.2700000,34727170
20200603,000000,68.5900000,69.0000000,66.8700000,68.0300000,26158640
20200604,000000,67.9900000,68.3000000,66.0600000,66.8900000,20699210
20200605,000000,66.9000000,67.2000000,64.7300000,65.0500000,33636160
20200608,000000,65.5000000,67.8100000,65.0900000,66.5000000,30924400
20200609,000000,66.5000000,66.8000000,65.0700000,65.2800000,18743320
20200610,000000,65.4000000,65.7000000,63.6000000,64.1500000,31151120
20200611,000000,63.8100000,63.9300000,62.6200000,62.9500000,22402370
20200615,000000,62.3400000,63.5000000,61.2700000,63.5000000,31678110
20200616,000000,63.9100000,64.4600000,63.2300000,63.9200000,27714610
20200617,000000,64.0300000,64.6000000,63.6400000,63.9400000,17468900
20200618,000000,63.9400000,64.0500000,62.6500000,63.2500000,27030070
20200619,000000,63.6400000,65.3300000,63.3800000,64.2200000,27777080
20200622,000000,64.2400000,64.4700000,63.1500000,64.2000000,15185090
20200623,000000,64.2000000,64.8300000,63.8700000,64.2900000,10617820
20200625,000000,63.9800000,64.2000000,62.8300000,63.3900000,24733530
20200626,000000,63.4300000,63.7000000,62.9000000,63.2400000,11167800
20200629,000000,63.0000000,64.5000000,62.9400000,64.2200000,12373880
20200630,000000,64.3600000,64.8600000,64.1300000,64.4900000,11819460
20200702,000000,64.7700000,65.5900000,64.5900000,65.3200000,14043670
20200703,000000,65.4500000,65.7900000,64.8200000,65.6700000,7349460
20200706,000000,65.8400000,66.5000000,65.5100000,66.0700000,17341540
20200707,000000,65.6600000,66.9800000,65.5100000,66.1500000,17487840
20200708,000000,66.3000000,66.9200000,66.0800000,66.8800000,15967960
20200709,000000,66.8000000,66.9800000,65.6500000,65.9100000,21172440
20200710,000000,63.6900000,64.2800000,63.1800000,64.2000000,18420260
20200713,000000,64.1500000,64.8500000,63.1200000,63.5500000,11549840
20200714,000000,63.6000000,63.6400000,61.8500000,62.4900000,14417830
20200715,000000,62.9100000,63.8100000,62.3600000,63.4100000,12331180
20200716,000000,63.4000000,64.3800000,62.9400000,64.1800000,14045330
20200717,000000,64.0800000,64.4300000,63.6600000,64.0400000,6782230
20200720,000000,63.8000000,64.6500000,63.8000000,64.5000000,12349740
20200721,000000,64.8000000,65.9200000,64.3900000,65.0000000,18126620
20200722,000000,65.0300000,65.1600000,64.3300000,64.9400000,10884790
20200723,000000,64.9800000,65.1000000,63.8700000,64.0200000,14137500
20200724,000000,63.9800000,65.0500000,63.1900000,64.9400000,14619950
20200727,000000,65.4000000,66.8400000,64.9300000,66.6800000,18970270
20200728,000000,66.7100000,66.8300000,65.4500000,65.6400000,10882510
20200729,000000,65.7300000,67.6000000,65.6500000,66.3400000,29943860
20200730,000000,66.3000000,67.5600000,65.8300000,66.5000000,22563040
20200731,000000,66.7000000,68.6400000,66.2300000,68.2700000,24596240
20200803,000000,68.6800000,69.3500000,67.5800000,68.5700000,16946900
20200804,000000,68.4600000,70.0800000,67.5700000,69.9000000,24802810
20200805,000000,70.0100000,70.3700000,69.3700000,69.8600000,15108850
20200806,000000,70.0000000,70.1800000,69.5500000,70.1000000,9658420
20200807,000000,69.9900000,69.9900000,68.3300000,68.8500000,15374710
20200810,000000,69.9300000,71.2000000,69.0200000,69.8500000,22499340
20200811,000000,69.7200000,70.2500000,68.9000000,69.4400000,18727310
20200812,000000,69.5900000,70.1100000,68.8000000,69.8900000,9566920
20200813,000000,70.1300000,70.1900000,69.2500000,69.7500000,12372310
20200814,000000,69.5100000,69.8100000,67.5000000,67.9800000,33117490
20200817,000000,67.8300000,67.8500000,66.0000000,66.4800000,24746110
20200818,000000,66.4300000,66.9500000,65.0100000,65.4200000,21407840
20200819,000000,65.4500000,66.6600000,65.0500000,66.3300000,14543370
20200820,000000,66.2200000,66.6500000,65.4200000,66.3400000,13406820
20200821,000000,66.4500000,66.8200000,65.8400000,66.4300000,11330200
20200824,000000,66.6000000,67.5400000,66.2400000,67.3900000,9889270
20200825,000000,67.4800000,67.5900000,66.6100000,67.1900000,9576690
20200826,000000,67.2500000,67.5800000,66.3500000,67.4000000,11258100
20200827,000000,67.5300000,68.1400000,67.2100000,67.4000000,11809510
20200828,000000,67.3900000,67.5500000,66.8000000,67.1800000,5860190
20200831,000000,67.3100000,68.0200000,65.6500000,66.1500000,22014040
20200901,000000,66.4100000,68.7600000,66.0600000,68.2500000,19574650
20200902,000000,68.3500000,68.5300000,66.0600000,66.6700000,14083740
20200903,000000,66.5700000,67.6400000,66.2600000,66.9000000,13728010
20200904,000000,66.9400000,68.1800000,66.6000000,67.9200000,21269000
20200907,000000,67.6800000,68.4700000,66.7000000,68.3900000,13257940
20200908,000000,68.4200000,69.7500000,68.2800000,69.3700000,25143590
20200909,000000,69.3700000,69.7600000,68.7500000,69.2000000,11343900
20200910,000000,69.1300000,72.4600000,68.5300000,71.6500000,48062250
20200911,000000,71.9100000,74.9600000,71.7700000,74.9400000,43014180
20200914,000000,75.0700000,75.6400000,73.2300000,73.7000000,32471290
20200915,000000,74.0300000,75.5700000,73.5700000,75.1500000,25984100
20200916,000000,75.4800000,75.4800000,74.1300000,74.9800000,18176330
20200917,000000,75.4800000,76.4800000,74.4100000,75.1000000,17809080
20200918,000000,75.2800000,77.2500000,75.0200000,76.3000000,24805800
20200921,000000,75.6500000,77.0600000,73.5300000,74.7000000,23302440
20200922,000000,75.1000000,75.2400000,73.6900000,74.9300000,16502340
20200923,000000,74.8100000,76.1100000,72.6600000,72.9500000,24745570
20200924,000000,73.0700000,73.4900000,71.4200000,73.0400000,21293840
20200925,000000,73.2000000,73.2000000,70.6600000,71.9400000,20111420
20200928,000000,71.9900000,72.7600000,71.6000000,72.6400000,11901520
20200929,000000,72.5400000,73.4600000,71.2200000,72.1000000,16055780
20200930,000000,72.1100000,74.1200000,72.0000000,73.7800000,38389700
20201001,000000,74.1000000,74.5800000,72.7300000,73.9900000,17202710
20201002,000000,73.7000000,74.4300000,72.9200000,74.1200000,12534740
20201005,000000,74.3100000,74.8100000,73.4200000,74.5600000,10475330
20201006,000000,74.5300000,77.6900000,74.4400000,76.9700000,26309730
20201007,000000,77.0900000,77.9600000,75.6800000,76.2800000,18734180
20201008,000000,76.0700000,77.9700000,76.0700000,77.7000000,15979940
20201009,000000,77.8800000,78.6400000,74.5600000,75.4100000,33521850
20201012,000000,75.6000000,78.4400000,75.0200000,78.2200000,24464050
20201013,000000,78.1400000,78.3900000,75.9000000,76.4000000,16065560
20201014,000000,76.3100000,77.4600000,76.0300000,76.8500000,10658450
20201015,000000,76.5800000,76.8800000,75.0000000,75.7100000,12263560
20201016,000000,75.4700000,76.9700000,75.2900000,76.0000000,11166100
20201019,000000,76.0900000,76.4300000,75.0000000,75.6400000,8776030
20201020,000000,75.4000000,75.6600000,74.5100000,75.4800000,6908090
20201021,000000,75.1000000,75.6200000,73.8700000,74.8300000,8733960
20201022,000000,74.4800000,75.5800000,74.4100000,75.1800000,7560280
20201023,000000,75.1500000,75.5000000,74.6300000,74.9400000,4920520
20201026,000000,74.7200000,75.8900000,74.0200000,74.1500000,9088350
20201027,000000,74.3500000,74.9200000,73.5200000,74.4600000,11046590
20201028,000000,74.4700000,74.6500000,69.9100000,70.2400000,22426500
20201029,000000,70.6200000,72.2000000,69.2300000,71.8100000,23564010
20201030,000000,71.6000000,71.6900000,69.9400000,70.7500000,14023950
20201102,000000,70.8700000,71.3800000,70.0800000,70.9600000,10498580
20201103,000000,71.2100000,72.1300000,70.6500000,71.8900000,12878970
20201105,000000,72.4800000,75.7600000,71.9000000,74.9000000,23244540
20201106,000000,74.6600000,77.6000000,74.1600000,76.7800000,21244860
20201109,000000,77.3100000,81.9400000,76.7600000,79.9100000,36410220
20201110,000000,79.7400000,80.8700000,78.3400000,79.2400000,22699820
20201111,000000,79.0000000,80.5000000,78.4700000,79.6700000,18418540
20201112,000000,79.9500000,80.5900000,78.5500000,79.5200000,18381190
20201113,000000,79.7400000,81.6500000,78.7600000,81.2000000,18124780
20201116,000000,81.8900000,86.5100000,81.7500000,86.4000000,37183310
20201117,000000,86.4900000,87.4000000,85.0400000,86.3000000,31605860
20201118,000000,86.1900000,90.1500000,85.7400000,88.9000000,36735470
20201119,000000,89.1500000,91.2000000,88.1200000,89.5400000,36532180
20201120,000000,89.0400000,89.4000000,87.6600000,88.3800000,13767320
20201123,000000,88.7000000,89.3800000,86.5000000,86.9300000,22591130
20201124,000000,86.9000000,87.5100000,83.6000000,85.7400000,32522320
20201125,000000,85.7000000,87.9800000,84.1000000,87.6900000,25991370
20201126,000000,87.7400000,89.0800000,86.8900000,87.3700000,17197010
20201127,000000,87.2200000,91.0000000,87.2200000,90.5300000,38003240
20201130,000000,89.6900000,91.1400000,87.9000000,88.5200000,31921270
20201201,000000,88.5400000,90.9900000,87.9000000,89.9000000,19561740
20201202,000000,89.6800000,91.9800000,89.0800000,89.7600000,19247570
20201203,000000,90.2000000,90.7900000,86.9400000,89.4400000,25666100
20201204,000000,90.2100000,92.1600000,89.4000000,91.5400000,21023750
20201207,000000,91.4500000,93.5000000,90.9100000,91.9300000,25422340
20201208,000000,92.0200000,94.4900000,91.4400000,92.9500000,23330050
20201209,000000,93.1700000,93.9000000,91.4100000,91.6500000,13760650
20201210,000000,91.7400000,93.3300000,90.6900000,92.2100000,23786910
20201211,000000,92.2600000,93.2900000,91.9100000,92.1000000,9988550
20201214,000000,92.5200000,92.6900000,90.0700000,90.4000000,18518480
20201215,000000,90.1100000,93.5500000,89.6800000,91.9500000,21839000
20201216,000000,92.1800000,96.4900000,92.1800000,96.2700000,45044450
20201217,000000,96.1000000,98.7900000,95.5800000,96.4900000,32003310
20201218,000000,95.8900000,97.2000000,93.7600000,94.5800000,24803090
20201221,000000,94.6000000,95.2800000,92.6400000,94.8500000,19140460
20201222,000000,94.4300000,97.0100000,94.4100000,96.1400000,17844340
20201223,000000,96.2000000,97.7600000,96.1400000,97.2300000,17168180
20201224,000000,97.5000000,98.9200000,96.1100000,97.7100000,12412170
20201225,000000,97.7300000,98.0600000,96.1300000,97.1100000,4134940
20201228,000000,97.0700000,97.9900000,96.8200000,97.6500000,8242450
20201229,000000,97.6000000,98.4400000,97.3500000,97.6700000,8471370
20201230,000000,97.9600000,99.4000000,97.5300000,99.0000000,11695130
20210104,000000,99.1700000,99.9900000,98.5200000,98.7300000,9078470
20210105,000000,98.4600000,99.8800000,98.1000000,99.5800000,9976860
20210106,000000,99.6700000,101.5000000,99.5800000,100.9400000,17373600
